Variable,Coef
Intercept,938.8352071
TEMPERATURE,25.17905998
HUMIDITY,-8.452138176
WIND_SPEED,2.415565213
"VISIBILITY",0.00673157617611553
0,-108.3963929
1,-208.4909041
2,-319.6365153
3,-407.0081667
4,-468.9035956
5,-448.7356917
6,-283.9539884
7,34.92772641
8,418.9237174
9,-41.86683887
10,-248.6146702
11,-246.6224887
AUTUMN,160.1853561
SPRING,2.317979442
WINTER,-204.2747124
SUMMER,0
12,-200.1945626
13,-205.383938
14,-204.2129716
15,-140.0851335
16,-22.4551015
17,231.8480903
18,661.2876985
19,401.0918277
20,318.7212806
21,317.3625177
22,234.8748833
23,0
